abachbida,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number
abachbibuuu,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number
abachbida,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number
four,four,three,six,five,eight,two,seven,nine,twelve,eleven,ten,several,fourteen,sixteen,dozen,thirteen,fifteen,twenty
music,music,songs,tunes,song,musical,jazz,musicians,dance,instrumental,listen,piano,musics,sound,listening,soundtrack,concert,album,guitar
society,society,societies,societal,social,culture,humanity,religion,democracy,politics,democratic,civilization,ideology,nation,morality,cultural,citizens,political,capitalism
fantasies,fantasies,dreams,desires,wildest,daydreams,erotic,fetishes,fantasy,imaginings,kinky,perverted,lust,fantasizing,fantasize,obsessions,sexual,pleasures,imagined
place,place,places,where,there,way,one,it,next,the,time,take,right,things,spot,put,we,rest,will
dreams,dreams,dream,dreaming,visions,fantasies,dreamed,desires,mind,dreamt,imagination,nightmares,destiny,daydreams,imagined,desire,longing,life,memories
pill,pill,pills,prescription,medication,phentermine,viagra,levitra,meds,drug,medications,cialis,rx,perscription,dosage,drugs,tramadol,ambien,generic
thrill,thrill,thrills,excitement,thrilling,exhilaration,exhilarating,delight,adrenaline,pleasure,adrenalin,adventure,joy,enjoyment,unforgettable,excitment,revel,awe,rollercoaster
laserbeams,laserbeams,lazors,lazers,laserbeam,sploding,jetwash,minnions,bleedy,laser-beam,jawas,bulletholes,idiocity,corraling,thingos,dragonflys,extemists,rayguns,garrish
ah,ah,ahh,yah,uh,eh,hah,ahhh,hahaha,nah,hehe,oh,hehehe,ohh,lah,haha,ooh,hahahaha,hmm
abachbida,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number
ah,ah,ahh,yah,uh,eh,hah,ahhh,hahaha,nah,hehe,oh,hehehe,ohh,lah,haha,ooh,hahahaha,hmm
star,star,stars,superstar,actress,actor,starred,starring,co-star,celebrity,starlet,cast,legend,fame,singer,diva,movie,newcomer,actors
ah,ah,ahh,yah,uh,eh,hah,ahhh,hahaha,nah,hehe,oh,hehehe,ohh,lah,haha,ooh,hahahaha,hmm
abachbida,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number
no,no,without,not,nothing,there,do,any,reason,longer,n't,wo,even,never,does,but,if,none,because
high,high,low,higher,highest,quality,level,levels,lower,wide,grade,school,extremely,increasing,rising,increase,strong,increased,well
gone,gone,going,went,still,never,got,came,go,again,nothing,finally,gotten,now,already,coming,turned,once,just
trace,trace,traces,tracing,traced,detect,indicate,detected,indicating,indicates,contain,identify,visible,origin,tracer,extracted,residue,source,detectable
estrade,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number
deformaty,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number
off,off,out,down,up,away,back,go,going,get,just,turn,then,before,put,when,take,turned,again
space,space,spaces,room,storage,area,floor,inside,workspace,building,large,larger,living,dimension,where,empty,square,open,orbit
solo,solo,solos,piano,guitar,vocals,trio,sax,guitarist,quartet,duet,soloist,vocal,album,instrumental,saxophone,soloing,violin,vocalist
hoo,hoo,hooo,whoo,wooo,hee,boo,hoooo,whooo,ooh,hah,haa,ooo,woooo,yay,woo,oooh,woohoo,yah
hoo,hoo,hooo,whoo,wooo,hee,boo,hoooo,whooo,ooh,hah,haa,ooo,woooo,yay,woo,oooh,woohoo,yah
aaa,aaa,aaaa,aa,aaaaa,bbb,duracell,caa,hartford,aarp,dc,new-model,ccc,alberta,arizona,diego,milwaukee,aaaaaa,usaa
aaa,aaa,aaaa,aa,aaaaa,bbb,duracell,caa,hartford,aarp,dc,new-model,ccc,alberta,arizona,diego,milwaukee,aaaaaa,usaa
ah,ah,ahh,yah,uh,eh,hah,ahhh,hahaha,nah,hehe,oh,hehehe,ohh,lah,haha,ooh,hahahaha,hmm
abachbida,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number
ah,ah,ahh,yah,uh,eh,hah,ahhh,hahaha,nah,hehe,oh,hehehe,ohh,lah,haha,ooh,hahahaha,hmm
star,star,stars,superstar,actress,actor,starred,starring,co-star,celebrity,starlet,cast,legend,fame,singer,diva,movie,newcomer,actors
ah,ah,ahh,yah,uh,eh,hah,ahhh,hahaha,nah,hehe,oh,hehehe,ohh,lah,haha,ooh,hahahaha,hmm
abachbida,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number
part,part,whole,the,entire,one,end,another,first,place,portion,particular,that,parts,important,there,thing,way,which
cough,cough,coughing,coughs,wheezing,headache,colds,bronchitis,fever,throat,vomiting,diarrhea,sneezing,nausea,runny,sore,flu,respiratory,asthma
cough,cough,coughing,coughs,wheezing,headache,colds,bronchitis,fever,throat,vomiting,diarrhea,sneezing,nausea,runny,sore,flu,respiratory,asthma
ah,ah,ahh,yah,uh,eh,hah,ahhh,hahaha,nah,hehe,oh,hehehe,ohh,lah,haha,ooh,hahahaha,hmm
ah,ah,ahh,yah,uh,eh,hah,ahhh,hahaha,nah,hehe,oh,hehehe,ohh,lah,haha,ooh,hahahaha,hmm
ah,ah,ahh,yah,uh,eh,hah,ahhh,hahaha,nah,hehe,oh,hehehe,ohh,lah,haha,ooh,hahahaha,hmm
ah,ah,ahh,yah,uh,eh,hah,ahhh,hahaha,nah,hehe,oh,hehehe,ohh,lah,haha,ooh,hahahaha,hmm
suspense,suspense,suspenseful,thriller,thrillers,suspence,intrigue,mystery,horror,drama,romance,melodrama,page-turner,fiction,novels,whodunit,tale,riveting,nail-biting
solo,solo,solos,piano,guitar,vocals,trio,sax,guitarist,quartet,duet,soloist,vocal,album,instrumental,saxophone,soloing,violin,vocalist
part,part,whole,the,entire,one,end,another,first,place,portion,particular,that,parts,important,there,thing,way,which
abachbida,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number
abachbida,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number
abachbidaaaa,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number
abachbidaaaaaaa,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number
lighter,lighter,heavier,thinner,thicker,softer,darker,light,brighter,lightest,smoother,slightly,stiffer,sturdier,nicer,sleeker,slimmer,lightweight,shorter
inhales,inhales,exhales,inhale,inhaling,exhaling,exhale,ingests,gulps,breathes,inhaled,breaths,exhaled,smokes,belches,snorts,huffs,vomits,sneezes
part,part,whole,the,entire,one,end,another,first,place,portion,particular,that,parts,important,there,thing,way,which
